total_watts,w_big,w_little,w_gpu,w_mem,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,temp_gpu,freq_big_cluster
2.63,0.234685,0.034846,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.23375,0.032095,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.641,0.23375,0.033966,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.641,0.23375,0.033966,0.095328,0.037758,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.035802,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.641,0.232815,0.033012,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.641,0.23375,0.033012,0.095328,0.03654,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.033929,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.23375,0.032095,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.23375,0.033012,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.033012,0.095328,0.037758,0,0,0,0,48,51,51,48,47,1000000000
2.645,0.232815,0.033966,0.095328,0.03654,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.033012,0.095328,0.03654,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.232815,0.033048,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.232815,0.033048,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.23375,0.033929,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.033048,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.033048,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.034884,0.095328,0.0366,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.23375,0.033929,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.23375,0.033012,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.23375,0.033012,0.095328,0.03654,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.033929,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.622,0.232815,0.03213,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.031212,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.622,0.232815,0.031178,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.622,0.232815,0.033048,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.032095,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.232815,0.032095,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.234,0.033048,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.03213,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.232815,0.032095,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.032095,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.033048,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.03213,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.232815,0.03213,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.032095,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.032095,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.23375,0.03213,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.23375,0.03213,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.232815,0.033048,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.23375,0.03213,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.622,0.23375,0.03213,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.03213,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.033966,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.232815,0.031212,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.618,0.232815,0.031212,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.033048,0.095232,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.23188,0.032095,0.095232,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.622,0.232815,0.03213,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.232815,0.03213,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.033012,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.033012,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.031212,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.626,0.232815,0.031212,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.232815,0.033048,0.095232,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.36814,0.035763,0.095232,0.032886,0.8750000001,0,0,0,48,51,51,48,47,1000000000
2.886,0.36814,0.035763,0.095328,0.0488,1,0,0,0,51,51,51,48,47,1000000000
3.237,0.66816,0.033012,0.095328,0.05002,1,0,0,0,52,52,51,48,48,1000000000
3.248,0.66816,0.033012,0.095328,0.05002,1,0,0,0,52,52,52,49,48,1000000000
3.248,0.670016,0.032095,0.096321,0.05002,1,0,0,0,52,52,52,49,48,1000000000
3.252,0.670016,0.032095,0.096321,0.05124,1,0,0,0,52,52,52,49,48,1000000000
