time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1644445857.9934223,10.615,0.111,0.0,0.05,0.0,0.619,0.684,0.65,0.579,62.0,70.0,69.0,60.0,
1644445858.193702,9.374,0.2,0.0,0.0,0.0,0.95,1.0,0.9470000000000001,0.95,64.0,73.0,72.0,62.0,
1644445858.3939881,9.374,0.105,0.0,0.0,0.05,0.789,0.818,0.81,0.789,59.0,69.0,68.0,58.0,
1644445858.5942698,9.374,0.2,0.0,0.136,0.05,0.8,0.85,0.8420000000000001,0.762,64.0,72.0,71.0,62.0,
1644445858.7945397,9.374,0.111,0.0,0.0,0.05,0.9470000000000001,1.0,0.9470000000000001,0.9470000000000001,65.0,73.0,72.0,63.0,
1644445858.9946523,9.374,0.0,0.091,0.0,0.0,0.6,0.682,0.7,0.65,61.0,68.0,68.0,60.0,
1644445859.1949265,9.374,0.1,0.0,0.0,0.0,0.9520000000000001,0.9470000000000001,1.0,0.9470000000000001,63.0,72.0,72.0,62.0,
1644445859.3951964,9.374,0.0,0.095,0.0,0.048,0.9470000000000001,0.95,1.0,0.95,65.0,73.0,73.0,63.0,
1644445859.5954776,9.374,0.1,0.0,0.0,0.0,0.619,0.579,0.632,0.684,63.0,71.0,70.0,62.0,
1644445859.7957523,9.374,0.059000000000000004,0.0,0.05,0.0,0.9470000000000001,0.9470000000000001,1.0,0.9470000000000001,64.0,73.0,72.0,63.0,
1644445859.996033,9.374,0.158,0.0,0.0,0.0,0.684,0.684,0.773,0.7,58.0,67.0,66.0,58.0,
1644445860.1964188,9.374,0.105,0.05,0.0,0.048,0.9470000000000001,0.857,0.9,0.8640000000000001,64.0,72.0,71.0,62.0,
1644445860.39688,9.374,0.1,0.0,0.05,0.1,1.0,0.955,0.95,0.9520000000000001,65.0,73.0,72.0,63.0,
1644445860.597337,9.374,0.21100000000000002,0.0,0.095,0.14300000000000002,0.684,0.65,0.619,0.6,63.0,70.0,69.0,61.0,
1644445860.797808,9.374,0.3,0.16699999999999998,0.0,0.15,1.0,1.0,0.95,1.0,65.0,72.0,71.0,63.0,
1644445860.998267,10.897,0.21100000000000002,0.0,0.0,0.14300000000000002,0.9,0.792,0.773,0.762,62.0,69.0,68.0,60.0,
1644445861.1987176,10.897,0.111,0.0,0.0,0.1,0.8420000000000001,0.789,0.789,0.8,64.0,72.0,71.0,62.0,
1644445861.399169,10.897,0.0,0.053,0.0,0.1,1.0,0.95,0.95,0.95,65.0,73.0,72.0,63.0,
1644445861.5996215,10.897,0.105,0.05,0.0,0.053,0.7140000000000001,0.65,0.6,0.6,62.0,69.0,68.0,60.0,
1644445861.8000643,10.897,0.14300000000000002,0.0,0.053,0.105,1.0,0.95,0.95,0.95,65.0,72.0,71.0,62.0,
1644445862.0007062,10.897,0.111,0.0,0.0,0.095,1.0,0.95,0.9470000000000001,0.9,63.0,70.0,68.0,60.0,
1644445862.2011888,9.298,0.263,0.05,0.0,0.0,0.75,0.65,0.667,0.65,64.0,71.0,70.0,61.0,
1644445862.401661,9.298,0.15,0.0,0.0,0.048,1.0,0.9520000000000001,0.95,0.9520000000000001,65.0,73.0,72.0,63.0,
1644445862.6020331,9.298,0.222,0.0,0.05,0.0,0.789,0.65,0.65,0.667,60.0,67.0,66.0,59.0,
1644445862.8024251,9.298,0.2,0.0,0.14300000000000002,0.05,0.95,0.95,0.905,0.905,65.0,72.0,71.0,62.0,
