time_stamp, total_power, temps_avg,
1648599527.2580104,6.202,49.75,
1648599527.4583158,6.202,49.75,
1648599527.6586697,6.443,50.0,
1648599527.8590086,6.443,49.5,
1648599528.0593495,6.443,49.75,
1648599528.2596622,6.443,49.5,
1648599528.459982,6.443,49.5,
1648599528.6602795,6.443,49.5,
1648599528.8606083,6.489,49.25,
1648599529.0609543,6.489,49.0,
1648599529.261298,6.489,49.0,
1648599529.4617205,6.489,49.25,
1648599529.6620102,6.344,49.5,
1648599529.8623185,6.344,49.75,
1648599530.0627098,6.344,49.75,
1648599530.2630148,6.344,49.5,
1648599530.4633148,6.344,49.5,
1648599530.6636398,6.458,49.5,
1648599530.8639548,6.458,49.25,
1648599531.064269,6.458,49.25,
1648599531.2647398,6.458,49.25,
1648599531.4651248,6.458,49.5,
1648599531.6654427,6.458,49.75,
1648599531.866445,6.458,49.75,
1648599532.0667663,6.458,49.5,
1648599532.2670968,6.458,49.25,
1648599532.4674187,6.458,49.5,
1648599532.667752,6.458,49.5,
1648599532.8680563,6.443,49.5,
1648599533.0683842,6.443,49.5,
1648599533.2687573,6.443,49.5,
1648599533.4691148,6.443,49.5,
1648599533.6694996,6.416,49.5,
1648599533.8698623,6.416,49.5,
1648599534.0701735,6.416,49.5,
1648599534.2706814,6.416,49.25,
1648599534.4710155,6.416,49.75,
1648599534.6717415,6.489,49.75,
1648599534.8720694,6.489,49.25,
1648599535.0723872,6.489,49.5,
1648599535.272691,6.489,49.5,
1648599535.4730635,6.489,49.25,
1648599535.6733994,6.431,49.5,
1648599535.8737838,6.431,49.75,
1648599536.074083,6.431,49.75,
1648599536.2743733,6.431,49.5,
1648599536.4746952,6.431,49.25,
1648599536.675013,6.431,49.5,
1648599536.8753576,6.309,49.75,
1648599537.0756674,6.309,49.25,
1648599537.2759933,6.309,49.5,
1648599537.4762974,6.309,47.0,
1648599537.676594,6.309,44.25,
1648599537.8768926,6.451,42.25,
1648599538.0771947,6.451,41.5,
1648599538.2775002,6.451,41.0,
1648599538.4777925,6.451,40.75,
1648599538.6780963,6.451,40.25,
1648599538.8784108,3.439,39.5,
1648599539.0787194,3.439,39.75,
1648599539.2790158,3.439,39.75,
1648599539.4793277,3.439,40.0,
1648599539.6796305,3.439,39.0,
1648599539.8799593,3.611,38.5,
1648599540.0802617,3.611,38.75,
1648599540.2805686,3.611,38.5,
1648599540.480875,3.611,38.0,
1648599540.681179,3.611,38.25,
1648599540.8814785,3.21,37.5,
1648599541.0817869,3.21,42.75,
1648599541.2820847,3.21,44.5,
1648599541.4824266,3.21,45.25,
1648599541.6826837,6.271,46.0,
1648599541.882995,6.271,46.25,
1648599542.0833097,6.271,46.25,
1648599542.2835948,6.271,46.5,
1648599542.4839137,6.271,47.25,
1648599542.6842613,6.42,47.25,
1648599542.884614,6.42,47.25,
1648599543.084973,6.42,47.25,
1648599543.2853253,6.42,47.75,
1648599543.4856257,6.42,48.25,
1648599543.6859438,6.409,48.75,
1648599543.886253,6.409,48.5,
1648599544.0866277,6.409,48.5,
1648599544.2869327,6.409,48.0,
1648599544.487254,6.409,48.75,
1648599544.6875958,6.409,48.5,
1648599544.887965,6.492,48.75,
1648599545.0882938,6.492,48.25,
1648599545.2886043,6.492,48.25,
1648599545.488938,6.492,48.75,
1648599545.6892653,6.256,48.75,
1648599545.8896122,6.256,48.5,
1648599546.0899122,6.256,49.0,
1648599546.2920356,6.256,49.0,
1648599546.492346,6.256,49.25,
1648599546.692701,6.256,49.0,
1648599546.8930192,6.534,48.75,
1648599547.0933516,6.534,48.75,
1648599547.293709,6.534,49.0,
1648599547.4940443,6.534,48.75,
1648599547.6943932,6.466,48.75,
1648599547.8947356,6.466,49.0,
1648599548.095027,6.466,48.5,
1648599548.2953339,6.466,49.5,
1648599548.495649,6.466,49.5,
1648599548.6959708,6.538,49.0,
1648599548.8962688,6.538,49.0,
1648599549.096581,6.538,49.0,
1648599549.2969444,6.538,48.75,
1648599549.4973617,6.538,49.0,
1648599549.6977024,6.508,49.25,
1648599549.8980477,6.508,49.25,
1648599550.0983367,6.508,49.0,
1648599550.2986639,6.508,49.5,
1648599550.4990098,6.508,49.25,
1648599550.6993065,6.473,48.75,
1648599550.8996298,6.473,48.75,
1648599551.0999458,6.473,49.0,
1648599551.3002598,6.473,49.0,
1648599551.50057,6.473,48.75,
1648599551.7008693,6.367,52.5,
1648599551.901218,6.367,50.5,
1648599552.1015332,6.367,50.0,
1648599552.3018556,6.367,49.75,
1648599552.5021951,6.367,49.5,
1648599552.702519,6.481,49.5,
1648599552.9028552,6.481,49.25,
1648599553.1031883,6.481,49.0,
1648599553.303548,6.481,49.5,
1648599553.503896,6.481,49.5,
1648599553.704239,6.481,49.5,
1648599553.9045997,6.55,49.75,
1648599554.1048977,6.55,49.75,
1648599554.3052156,6.55,49.75,
1648599554.5055506,6.55,49.5,
1648599554.7058709,6.55,49.25,
1648599554.9061644,6.47,44.75,
1648599555.1065423,6.47,43.25,
1648599555.306853,6.47,41.5,
1648599555.5071719,6.47,41.0,
1648599555.7074556,3.626,40.5,
1648599555.907825,3.626,40.75,
1648599556.1081333,3.626,39.75,
1648599556.3084593,3.626,43.5,
1648599556.5087442,3.626,45.5,
1648599556.7090712,6.34,46.5,
1648599556.9094052,6.34,47.5,
1648599557.1097293,6.34,47.25,
1648599557.3100448,6.34,47.25,
1648599557.5103557,6.34,47.5,
1648599557.7106805,6.34,47.5,
1648599557.9110157,6.34,47.75,
1648599558.1113417,6.466,47.75,
1648599558.3116987,6.466,48.25,
1648599558.512052,6.466,48.25,
1648599558.7123923,6.336,48.5,
1648599558.912806,6.336,48.75,
1648599559.113104,6.336,48.75,
1648599559.3134415,6.336,49.0,
1648599559.5137668,6.336,49.0,
1648599559.7141166,6.336,48.75,
1648599559.9144359,6.336,48.75,
1648599560.1148012,6.443,48.75,
1648599560.3151667,6.443,48.5,
1648599560.5155044,6.443,49.25,
1648599560.7158837,6.435,49.0,
1648599560.9161923,6.435,49.75,
1648599561.1164992,6.435,48.75,
1648599561.3168192,6.435,49.75,
1648599561.5171635,6.435,49.25,
1648599561.717502,6.527,49.25,
1648599561.9178445,6.527,49.0,
1648599562.1181996,6.527,49.0,
1648599562.3184938,6.527,49.0,
1648599562.518697,6.527,49.25,
1648599562.7190344,6.531,48.75,
1648599562.9193645,6.531,49.25,
1648599563.11971,6.531,49.0,
1648599563.320035,6.531,49.5,
1648599563.520416,6.531,49.5,
1648599563.7207453,6.336,49.5,
1648599563.9210584,6.336,49.5,
1648599564.1216261,6.336,49.75,
1648599564.3219268,6.336,49.5,
1648599564.5222743,6.336,49.25,
1648599564.7226534,6.55,49.5,
1648599564.923006,6.55,49.25,
1648599565.1233492,6.55,49.25,
1648599565.3236802,6.55,49.5,
1648599565.523968,6.55,49.25,
1648599565.7242446,6.55,49.75,
1648599565.9245434,6.489,49.75,
1648599566.1248844,6.489,49.75,
1648599566.3251853,6.489,48.75,
1648599566.525507,6.489,49.75,
1648599566.7258332,6.359,49.5,
1648599566.9261463,6.359,49.5,
1648599567.1264799,6.359,49.5,
1648599567.326796,6.359,49.5,
1648599567.5271003,6.359,49.0,
1648599567.7274163,6.359,49.0,
1648599567.9277272,6.42,51.0,
1648599568.1280527,6.42,49.75,
1648599568.3283794,6.42,49.5,
1648599568.5287094,6.42,49.25,
1648599568.7290478,6.195,49.5,
1648599568.9293694,6.195,49.25,
1648599569.1297195,6.195,49.5,
1648599569.3300571,6.195,49.5,
1648599569.5304258,6.195,49.5,
1648599569.7306747,6.496,49.5,
1648599569.9310207,6.496,49.5,
1648599570.1313653,6.496,49.5,
1648599570.3317127,6.496,49.5,
1648599570.5320363,6.496,49.5,
1648599570.7323344,6.496,49.5,
1648599570.9326322,6.496,49.5,
1648599571.132942,6.496,49.5,
1648599571.3332705,6.496,49.75,
1648599571.5335813,6.496,49.5,
1648599571.7339308,6.496,49.25,
1648599571.9343076,6.496,49.5,
1648599572.1347063,6.496,49.5,
1648599572.3350694,6.496,49.75,
1648599572.535392,6.37,50.0,
1648599572.7370334,6.519,49.0,
1648599572.937379,6.519,49.75,
1648599573.1376789,6.519,52.0,
1648599573.33799,6.519,51.0,
1648599573.5383327,6.519,50.0,
1648599573.7386866,6.519,50.0,
1648599573.9390001,7.29,49.5,
1648599574.1393147,7.29,49.5,
1648599574.3396711,7.29,49.5,
1648599574.539992,7.29,49.5,
1648599574.7403324,6.248,49.25,
1648599574.9406567,6.248,49.5,
1648599575.141018,6.248,49.5,
1648599575.3413515,6.248,49.5,
1648599575.5417368,6.248,49.5,
1648599575.74207,6.248,49.5,
1648599575.9423838,6.42,49.5,
1648599576.1426992,6.42,49.75,
1648599576.343026,6.42,49.75,
1648599576.5433333,6.42,49.75,
1648599576.7436469,6.42,49.5,
1648599576.943994,6.42,49.5,
1648599577.1443367,6.42,49.5,
1648599577.3446681,6.241,49.75,
1648599577.545051,6.241,49.5,
1648599577.7453637,6.386,49.5,
1648599577.9456706,6.386,49.75,
1648599578.1460001,6.386,49.75,
1648599578.346341,6.386,49.75,
1648599578.546679,6.386,49.75,
1648599578.7469938,6.466,49.75,
1648599578.9473078,6.466,49.5,
1648599579.1476226,6.466,49.5,
1648599579.3479512,6.466,49.5,
1648599579.5482771,6.466,49.5,
1648599579.7486215,6.519,49.5,
1648599579.9489808,6.519,49.5,
1648599580.1493154,6.519,49.75,
1648599580.349692,6.519,49.75,
1648599580.5500095,6.519,49.5,
1648599580.7507656,6.519,50.0,
1648599580.9510877,6.42,50.0,
1648599581.1515338,6.42,49.75,
1648599581.351865,6.42,49.75,
1648599581.5522063,6.42,49.5,
1648599581.752532,6.489,49.5,
1648599581.9528644,6.489,49.75,
1648599582.153213,6.489,49.75,
1648599582.3535755,6.489,49.75,
1648599582.5539334,6.489,49.75,
1648599582.7542238,6.492,50.0,
1648599582.9545364,6.492,49.5,
1648599583.1548624,6.492,49.75,
1648599583.355171,6.492,50.0,
1648599583.555496,6.492,49.75,
1648599583.7558198,6.492,49.75,
1648599583.9561508,6.492,49.5,
1648599584.1564574,6.492,49.5,
1648599584.3567917,6.492,49.5,
1648599584.557136,6.492,49.5,
1648599584.7574635,6.492,49.5,
1648599584.9578335,6.515,49.75,
1648599585.1581986,6.515,49.75,
1648599585.3585048,6.515,49.5,
1648599585.558698,6.515,48.75,
1648599585.7590148,6.256,48.75,
1648599585.95937,6.256,49.25,
1648599586.1596959,6.256,49.0,
1648599586.3600445,6.256,49.75,
1648599586.5603888,6.256,49.75,
1648599586.7607076,6.458,49.75,
1648599586.9610288,6.458,49.75,
1648599587.1613278,6.458,49.75,
1648599587.3616233,6.458,50.0,
1648599587.5619495,6.458,50.0,
1648599587.7622726,6.42,49.75,
1648599587.962649,6.42,50.0,
1648599588.1629565,6.42,49.5,
1648599588.363277,6.42,49.5,
1648599588.5636008,6.42,49.75,
1648599588.7639446,6.359,49.5,
1648599588.9643059,6.359,49.5,
1648599589.16465,6.359,49.0,
1648599589.3650212,6.359,49.75,
1648599589.5653417,6.359,49.75,
1648599589.7656782,6.332,49.75,
1648599589.9659934,6.332,49.75,
1648599590.166315,6.332,49.75,
1648599590.366652,6.332,49.5,
1648599590.566982,6.332,49.75,
1648599590.7673078,6.409,49.75,
1648599590.967648,6.409,49.5,
1648599591.167953,6.409,49.75,
1648599591.368292,6.409,49.75,
1648599591.5686147,6.409,50.0,
1648599591.7689414,6.462,49.75,
1648599591.9692962,6.462,51.5,
1648599592.1696846,6.462,49.75,
1648599592.3699882,6.462,50.0,
