time_stamp, total_power, temps_avg,
1648582610.7104452,7.691,56.0,
1648582610.9109564,7.691,56.0,
1648582611.111451,7.691,55.75,
1648582611.3119457,7.741,55.75,
1648582611.5124416,7.741,56.25,
1648582611.7129347,7.741,56.0,
1648582611.9134564,7.741,55.75,
1648582612.1139343,7.741,55.75,
1648582612.314412,7.741,55.75,
1648582612.5150068,7.741,56.75,
1648582612.715296,7.825,56.0,
1648582612.915638,7.825,55.75,
1648582613.1160028,7.825,55.75,
1648582613.3163052,7.825,55.25,
1648582613.5166147,7.825,56.5,
1648582613.7169163,7.722,55.75,
1648582613.9172697,7.722,55.5,
1648582614.1176634,7.722,55.75,
1648582614.3181026,7.722,56.0,
1648582614.5187347,7.722,56.25,
1648582614.71923,7.729,55.75,
1648582614.9197428,7.729,55.5,
1648582615.1202393,7.729,56.0,
1648582615.3207252,7.729,56.75,
1648582615.5212297,7.729,55.75,
1648582615.7217395,7.737,55.5,
1648582615.9227784,7.737,55.75,
1648582616.1234028,7.737,56.5,
1648582616.3239198,7.737,56.5,
1648582616.524425,7.737,55.75,
1648582616.7249324,7.664,55.25,
1648582616.9254622,7.664,55.75,
1648582617.125951,7.664,56.5,
1648582617.3264387,7.664,56.25,
1648582617.5269425,7.664,55.75,
1648582617.727432,7.664,55.75,
1648582617.9279194,7.664,56.5,
1648582618.1284096,7.664,56.0,
1648582618.328896,7.664,55.75,
1648582618.5304391,7.691,55.75,
1648582618.7308683,7.691,56.25,
1648582618.931176,7.886,56.25,
1648582619.1315143,7.886,55.5,
1648582619.3318825,7.886,55.75,
1648582619.5322237,7.886,56.25,
1648582619.7326431,7.886,56.0,
1648582619.9331467,7.825,55.75,
1648582620.133642,7.825,55.75,
1648582620.3341193,7.825,56.25,
1648582620.534741,7.825,55.75,
1648582620.7352273,7.825,55.75,
1648582620.9362502,7.439,55.75,
1648582621.137085,7.439,55.75,
1648582621.3374834,7.439,56.5,
1648582621.5378017,7.439,55.75,
1648582621.7381332,7.653,55.75,
1648582621.9387188,7.653,55.75,
1648582622.1392198,7.653,56.25,
1648582622.3396513,7.653,56.25,
1648582622.539977,7.653,55.75,
1648582622.7403417,7.653,55.75,
1648582622.9406629,7.79,55.75,
1648582623.1409986,7.79,56.75,
1648582623.341294,7.79,55.75,
1648582623.54163,7.79,55.5,
1648582623.7420142,7.847,55.75,
1648582623.942449,7.847,56.5,
1648582624.142669,7.847,55.75,
1648582624.3430078,7.847,55.75,
1648582624.5433564,7.847,55.75,
1648582624.7438061,7.615,55.5,
1648582624.9443064,7.615,56.25,
1648582625.1447964,7.615,56.25,
1648582625.3452876,7.615,56.0,
1648582625.545788,7.615,55.75,
1648582625.7462904,7.748,56.0,
1648582625.9467983,7.748,56.5,
1648582626.1472886,7.748,55.75,
1648582626.3477926,7.748,55.75,
1648582626.5482957,7.748,55.75,
1648582626.748784,7.672,56.75,
1648582626.9492958,7.672,55.75,
1648582627.1497958,7.672,55.5,
1648582627.3502927,7.672,55.75,
1648582627.5507884,7.672,56.0,
1648582627.7512767,7.672,56.5,
1648582627.9517796,7.672,55.75,
1648582628.1522596,7.672,55.75,
1648582628.352751,7.653,56.0,
1648582628.5532594,7.653,56.5,
1648582628.7537491,7.477,55.75,
1648582628.9542425,7.477,55.75,
1648582629.1547558,7.477,55.75,
1648582629.3552501,7.477,55.75,
1648582629.555738,7.477,56.25,
1648582629.756417,7.477,55.75,
1648582629.9569144,7.477,55.75,
1648582630.1574094,7.477,56.5,
1648582630.357866,7.668,56.0,
1648582630.5581753,7.668,55.75,
1648582630.7585616,7.718,55.5,
1648582630.9590006,7.718,55.75,
1648582631.1595147,7.718,56.25,
1648582631.360036,7.718,55.5,
1648582631.5605462,7.718,55.5,
1648582631.7610497,7.718,55.75,
1648582631.9615753,7.729,56.25,
1648582632.1620843,7.729,56.0,
1648582632.3627174,7.729,55.5,
1648582632.5632222,7.729,55.5,
1648582632.7639096,7.729,55.75,
1648582632.9644258,7.92,56.25,
1648582633.165027,7.92,55.75,
1648582633.365551,7.92,55.75,
1648582633.5660603,7.92,55.75,
1648582633.7665544,7.657,56.25,
1648582633.9671304,7.657,55.5,
1648582634.1676471,7.657,55.75,
1648582634.3683064,7.657,55.75,
1648582634.568772,7.657,56.0,
1648582634.7692287,7.657,55.5,
1648582634.969577,7.657,55.75,
1648582635.1699078,7.657,55.5,
1648582635.3703623,7.657,55.75,
1648582635.5708735,7.657,56.0,
1648582635.7713823,7.657,55.75,
1648582635.9719048,7.657,55.75,
1648582636.1724007,7.657,55.75,
1648582636.3729894,7.741,55.5,
1648582636.5732718,7.741,55.5,
